"Anio","ID region","Region","Provincia","Comuna","Número explotación","Número bloque","Tipo productor","Especie","Variedad","Anio plantacion","Metodo de riego","Numero de arboles","Superficie (ha)"
"2025","13","Región Metropolitana de Santiago","Maipo","Calera de Tango","2980","3","Empresa","Nectarino","Bright Pearl","2006","Goteo","2280","4,56"
"2025","13","Región Metropolitana de Santiago","Melipilla","María Pinto","21185","2","Empresa","Nectarino","Extreme 303","2025","Goteo","1625","1,95"
"2025","13","Región Metropolitana de Santiago","Maipo","Calera de Tango","23984","5","Empresa","Nectarino","Extreme 303","2024","Goteo","2741","3,70"
"2025","13","Región Metropolitana de Santiago","Melipilla","María Pinto","21185","1","Empresa","Nectarino","Extreme 303","2020","Goteo","3291","3,95"
"2025","13","Región Metropolitana de Santiago","Talagante","Isla de Maipo","10477","4","Hombre","Limonero","Genova","2022","Goteo","12","0,02"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","4728","5","Hombre","Limonero","Genova","2019","Goteo","149","0,13"
"2025","13","Región Metropolitana de Santiago","Melipilla","San Pedro","20079","2","Hombre","Limonero","Genova","2010","Goteo","125","0,15"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","21750","1","Hombre","Limonero","Genova","2011","Goteo","107","0,16"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","20810","4","Hombre","Limonero","Genova","2016","Goteo","133","0,16"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","8493","2","Hombre","Limonero","Genova","2011","Goteo","97","0,17"
"2025","13","Región Metropolitana de Santiago","Talagante","Isla de Maipo","10477","3","Hombre","Limonero","Genova","2021","Goteo","110","0,17"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","7388","5","Hombre","Limonero","Genova","2018","Goteo","67","0,18"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","8493","2","Hombre","Limonero","Genova","2005","Goteo","114","0,20"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","20194","2","Hombre","Limonero","Genova","2016","Goteo","133","0,20"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","4722","1","Hombre","Limonero","Genova","2013","Goteo","143","0,20"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","7620","18","Empresa","Limonero","Genova","2017","Goteo","178","0,21"
"2025","13","Región Metropolitana de Santiago","Melipilla","Melipilla","4730","8","Hombre","Limonero","Genova","1996","Goteo","100","0,24"
